ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,FacilityName,ActivityType,ManagedBy,Ward,Address,Postcode
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Street,Playground,Parks and Countryside,City & Hunslet,"Hunslet, Leeds",LS10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Churwell Park,Playground,Parks and Countryside,Morley North,"Park St., Morley, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Churwell Park,Bowling Green,Parks and Countryside,Morley North,Park Street,LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Churwell Park Muga,Ball Park Area,Parks and Countryside,Morley North,Park Street,LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Clifford Parish,Playground,Parish Council,,,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Collingham Parish,Playground,Parish Council,,,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Coney Moor02,Playground,Parks and Countryside,Kippax & Methley,"Mickletown, Methley,",LS26
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Conways Ball Park Area,Ball Park Area,Parks and Countryside,Gipton & Harehills,Ashton Road,LS8
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Conways Gia,Playground,Parks and Countryside,Gipton & Harehills,"Ashton Road,",LS8
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cookridge Lane,Playground,Parks and Countryside,Adel & Wharfedale,Cookridge Lane,LS16
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cottingley Drive Skateboard Park,Skateboard park,Parks and Countryside,Beeston & Holbeck,"Near Cemetery, Cottingley",LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cottingley Drive Tz,Teen Zone,Parks and Countryside,Beeston & Holbeck,"Near Cemetery, Cottingley",LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cottingley Estate Tz,Playground,Parks and Countryside,Beeston & Holbeck,"Above The Ring Road, Cottingley",LS11
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cragg Hill Recreation Ground,Senior,Parks and Countryside,,,LS18 4NU
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Cragg Hill Recreation Ground,Junior (9v9),Parks and Countryside,,,LS18 4NU
